range_index,start_timestamp,end_timestamp,duration_ns,sm__inst_executed_realtime.sum.per_cycle_active,sm__cycles_active.sum,l1tex__t_bytes.sum,sm__inst_executed_realtime.sum,dram__bytes.sum,dram__cycles_active.sum
35,1765294537745295658,1765294537758454212,13158554,13.219556,9675275.000000,57152576.000000,4263428.000000,39504896.000000,4938112.000000
36,1765294537758454212,1765294537769621603,11167391,13.160530,9718633.000000,57152576.000000,4263412.000000,39296000.000000,4912000.000000
37,1765294537769621603,1765294537778532426,8910823,13.085941,9774065.000000,57152576.000000,4263428.000000,39577856.000000,4947232.000000
38,1765294537778532426,1765294537786793266,8260840,13.297027,9618950.000000,57152576.000000,4263448.000000,39745536.000000,4968192.000000
39,1765294537786793266,1765294537795449721,8656455,13.064925,9789778.000000,57152576.000000,4263424.000000,39293952.000000,4911744.000000
40,1765294537795449721,1765294537809776207,14326486,14.231444,10920165.000000,72688544.000000,5180324.000000,46071808.000000,5758976.000000
41,1765294537809776207,1765294537818751221,8975014,10.998882,10958106.000000,42422784.000000,4017564.000000,34629888.000000,4328736.000000
42,1765294537818751221,1765294537830189364,11438143,14.014612,11089095.000000,72688544.000000,5180312.000000,45798912.000000,5724864.000000
43,1765294537830189364,1765294537839802200,9612836,13.189704,9697164.000000,57152576.000000,4263424.000000,39538432.000000,4942304.000000
44,1765294537839802200,1765294537850944856,11142656,13.204379,9686359.000000,57152576.000000,4263412.000000,39219200.000000,4902400.000000
45,1765294537850944856,1765294537860578492,9633636,13.194595,9693533.000000,57152576.000000,4263408.000000,39605504.000000,4950688.000000
46,1765294537860578492,1765294537873404662,12826170,13.096974,9765850.000000,57152576.000000,4263436.000000,39095552.000000,4886944.000000
47,1765294537873404662,1765294537880413282,7008620,13.258056,9647170.000000,57152576.000000,4263424.000000,39688960.000000,4961120.000000
48,1765294537880413282,1765294537886667408,6254126,11.897966,8438047.000000,41616608.000000,3346520.000000,34677248.000000,4334656.000000
49,1765294537886667408,1765294537893726268,7058860,20.764576,1324708.000000,15535968.000000,916900.000000,17060096.000000,2132512.000000
50,1765294537893726268,1765294537899980586,6254318,13.281530,9630083.000000,57152576.000000,4263408.000000,30146560.000000,3768320.000000
51,1765294537899980586,1765294537905939960,5959374,12.122904,8281481.000000,41616608.000000,3346520.000000,33266432.000000,4158304.000000
52,1765294537905939960,1765294537913245507,7305547,20.539964,1339200.000000,15535968.000000,916904.000000,6774016.000000,846752.000000
53,1765294537913245507,1765294537923558245,10312738,13.354965,9577175.000000,57152576.000000,4263428.000000,45200640.000000,5650080.000000
54,1765294537923558245,1765294537935285091,11726846,12.745264,17912433.000000,98769184.000000,7609956.000000,66202624.000000,8275328.000000
55,1765294537935285091,1765294537943776651,8491560,20.598564,1335396.000000,15535968.000000,916908.000000,16963840.000000,2120480.000000
56,1765294537943776651,1765294537949973464,6196813,13.031447,9814956.000000,57152576.000000,4263436.000000,30699776.000000,3837472.000000
57,1765294537949973464,1765294537954220172,4246708,15.186886,6610685.000000,41616608.000000,3346524.000000,33195776.000000,4149472.000000
58,1765294537954220172,1765294537958695551,4475379,0.000000,0.000000,0.000000,0.000000,899072.000000,112384.000000
59,1765294537958695551,1765294537963033395,4337844,21.826379,1260253.000000,15535968.000000,916892.000000,7272448.000000,909056.000000
